NOTE  |Author: Phael
NOTE  |Updated: 01/02/2026
NOTE  |
NOTE  |[ 4 ] Meteor + [ 5 ] Thrower + [ 5 ] Healer
NOTE  |[ 2 ] Ballon
NOTE  |[ 1 ] AppWard
NOTE  |[ 4 ] Rage
NOTE  |[ 3 ] Totem
NOTE  |
NOTE  |Attack Drop: External Edges
NOTE  |Clan Castle: Any Troops + Quake
NOTE  |Siege Machine: Log Launcher
      |                                                                                                                                                                       |
      |--------------------------------------------------------------------------MeteorMayhem Start---------------------------------------------------------------------------|
      |                                                                                                                                                                       |
      |___________|___________|____TH06___|____TH07___|____TH08___|____TH09___|____TH10___|____TH11___|____TH12___|____TH13___|____TH14___|____TH15___|____TH16___|____TH17___|
DROP  |A          |1          |1          |King       |16         |0          |16-32      |           |           |           |           |           |           |           |
DROP  |A          |1          |1          |Prince     |16         |0          |16-32      |           |           |           |           |           |           |           |
DROP  |B          |6          |1          |Duke       |16         |0          |16-32      |           |           |           |           |           |           |           |
DROP  |B          |6          |1          |Champion   |16         |0          |16-32      |           |           |           |           |           |           |           |

      |TOTEM
DROP  |X          |4          |1          |TSpell     |256        |0          |128-256    |           |           |           |           |           |           |           |
DROP  |Y          |1          |1          |TSpell     |256        |0          |128-256    |           |           |           |           |           |           |           |
DROP  |Z          |4          |1          |TSpell     |256        |0          |128-256    |           |           |           |           |           |           |           |

      |MID RAGE
DROP  |E          |1          |1          |RSpell     |256        |0          |128-256    |           |           |           |           |           |           |           |

      |QUAKE
DROP  |R          |2          |1          |ESpell     |128        |0          |128-256    |           |           |           |           |           |           |           |
DROP  |T          |2          |1          |ESpell     |128        |0          |128-256    |           |           |           |           |           |           |           |
DROP  |R          |3          |1          |ESpell     |128        |0          |128-256    |           |           |           |           |           |           |           |
DROP  |T          |3          |1          |ESpell     |128        |0          |128-256    |           |           |           |           |           |           |           |

      |REMAINING TROOPS/SKILLS
WAIT  |10000-15000|           |           |           |           |           |           |           |           |           |           |           |           |           |
DROP  |A-B        |1-5        |10         |REMAIN     |128        |0          |16-32      |           |           |           |           |           |           |           |
      |                                                                                                                                                                       |
      |--------------------------------------------------------------------------MeteorMayhem Start---------------------------------------------------------------------------| 
